num_solution,type,famille_solution,usage_CH,usage_ECS,usage_FR,num_AFPAC,emprise_PAC_exterieur,local_technique,emprise_logement,structure,acoustique,reseaux_hydrauliques,PLU,raccordement_electrique,impact_visuel,note_impact_visuel,note_impact_sonore,note_impact_espace_exterieur,note_environnemental,note_maturite,description_solution,description_solution_proposition Pouget,commentaire_app,commentaire_pouget
11 - PAC Air / Eau (gainée),COL,PAC Air-Eau,Oui,Oui,Possible,5,Pas d'emprise extérieure,"S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,-,Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux ECS et chauffage,Vérifier que l’intégration architecturales des bouches en façade est compatible avec le PLU,Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des bouches en façade,B,C,A,A,C,"La pompe à chaleur (PAC) air / eau prélève de la chaleur dans l'air extérieur, augmente son niveau de température et la transfère à un circuit d'eau.","La PAC air-eau capte de la chaleur sur l’air extérieur, et produit de l’eau chaude.","La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
12 - PAC Air / Air (DRV),COL,PAC Air-Air,Oui,Oui,Oui,6,"S’assurer que la place est suffisante en toiture ou dans le jardin (surface estimée, avec espace libre autour des PAC : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,"En cas de pose en toiture terrasse, anticiper l’impact des PAC sur la capacité structurelle de la toiture",Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux ECS et création d’un réseau de fluide frigorigène,"Si la PAC est installée en toiture, vérifier la compatibilité avec le PLU (notamment la hauteur)",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,C,C,D,La pompe à chaleur (PAC) air / air utilise l'air extérieur comme source d'énergie pour chauffer (ou refroidir) l'air à l'intérieur et pour produire de l'eau chaude.,,,on garde ?
13 - PAC Eau / Eau géothermique,COL,PAC Eau-Eau,Oui,Oui,Possible,7,Pas d'emprise extérieure,"S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,-,Pas de nuisances acoustiques,Prévoir une éventuelle rénovation des réseaux ECS et chauffage,-,Anticiper l’impact sur la puissance de raccordement électrique,Pas d'impact visuel,A,A,B,A,A,"La pompe à chaleur (PAC) eau / eau prélève de la chaleur dans le sol, augmente son niveau de température et la transfère à un circuit d'eau.","La PAC eau-eau capte de la chaleur dans le sol, et produit de l’eau chaude.","La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",on distingue sonde et eaux de nappe ?
15 - Hybride : PAC + chaudière,COL,Hybride PAC + Chaudière,Oui,Oui,Possible,9,"S’assurer que la place est suffisante en toiture ou dans le jardin (surface estimée, avec espace libre autour des PAC : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,"En cas de pose en toiture terrasse, anticiper l’impact des PAC sur la capacité structurelle de la toiture",Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux ECS et chauffage,"Si la PAC est installée en toiture, vérifier la compatibilité avec le PLU (notamment la hauteur)",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,C,C,B,La solution hybride combine une pompe à chaleur (PAC) avec une chaudière pour assurer l'appoint.,,"La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
16 - Hybride : PAC (gainée) + chaudière,COL,Hybride PAC + Chaudière,Oui,Oui,Possible,10,Pas d'emprise extérieure,"S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,-,Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux ECS et chauffage,Vérifier que l’intégration architecturales des bouches en façade est compatible avec le PLU,Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des bouches en façade,B,C,A,C,D,La solution hybride combine une pompe à chaleur (PAC) avec une chaudière pour assurer l'appoint.,,"La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
20 - PAC Air / Eau,COL,PAC Air-Eau,Oui,Non,Possible,5b,"S’assurer que la place est suffisante en toiture ou dans le jardin (surface estimée, avec espace libre autour des PAC : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,"En cas de pose en toiture terrasse, anticiper l’impact des PAC sur la capacité structurelle de la toiture",Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux chauffage,"Si la PAC est installée en toiture, vérifier la compatibilité avec le PLU (notamment la hauteur)",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,C,B,A,"La pompe à chaleur (PAC) air / eau prélève de la chaleur dans l'air extérieur, augmente son niveau de température et la transfère à un circuit d'eau.","La PAC air-eau capte de la chaleur sur l’air extérieur, et produit de l’eau chaude.","La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
21 - PAC Air / Eau (gainée),COL,PAC Air-Eau,Oui,Non,Possible,5b,Pas d'emprise extérieure,"S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,-,Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux chauffage,Vérifier que l’intégration architecturales des bouches en façade est compatible avec le PLU,Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des bouches en façade,B,C,A,B,C,"La pompe à chaleur (PAC) air / eau prélève de la chaleur dans l'air extérieur, augmente son niveau de température et la transfère à un circuit d'eau.","La PAC air-eau capte de la chaleur sur l’air extérieur, et produit de l’eau chaude.","La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
22 - PAC Air / Air (DRV),COL,PAC Air-Air,Oui,Non,Oui,6b,"S’assurer que la place est suffisante en toiture ou dans le jardin (surface estimée, avec espace libre autour des PAC : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,"En cas de pose en toiture terrasse, anticiper l’impact des PAC sur la capacité structurelle de la toiture",Prévoir un éventuel traitement acoustique,Création d’un réseau de fluide frigorigène,"Si la PAC est installée en toiture, vérifier la compatibilité avec le PLU (notamment la hauteur)",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,C,C,D,La pompe à chaleur (PAC) air / air utilise l'air extérieur comme source d'énergie pour chauffer (ou refroidir) l'air à l'intérieur et pour produire de l'eau chaude.,La PAC air/air utilise l'air extérieur comme source d'énergie pour chauffer (ou refroidir) l'air à l'intérieur et pour produire de l'eau chaude.,,
23 - PAC Eau / Eau géothermique,COL,PAC Eau-Eau,Oui,Non,Possible,7b,Pas d'emprise extérieure,"S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,-,Pas de nuisances acoustiques,Prévoir une éventuelle rénovation des réseaux chauffage,-,Anticiper l’impact sur la puissance de raccordement électrique,Pas d'impact visuel,A,A,B,A,A,"La pompe à chaleur (PAC) eau / eau prélève de la chaleur dans le sol, augmente son niveau de température et la transfère à un circuit d'eau.","La PAC eau-eau capte de la chaleur dans le sol, et produit de l’eau chaude.","La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",géothermique hybride ?
25 - Hybride : PAC + chaudière,COL,Hybride PAC + Chaudière,Oui,Non,Possible,9b,"S’assurer que la place est suffisante en toiture ou dans le jardin (surface estimée, avec espace libre autour des PAC : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,"En cas de pose en toiture terrasse, anticiper l’impact des PAC sur la capacité structurelle de la toiture",Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux chauffage,"Si la PAC est installée en toiture, vérifier la compatibilité avec le PLU (notamment la hauteur)",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,C,C,B,La solution hybride combine une pompe à chaleur (PAC) avec une chaudière pour assurer l'appoint.,,"La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
26 - Hybride : PAC (gainée) + chaudière,COL,Hybride PAC + Chaudière,Oui,Non,Possible,9b,Pas d'emprise extérieure,"S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Aucune,-,Prévoir un éventuel traitement acoustique,Prévoir une éventuelle rénovation des réseaux chauffage,Vérifier que l’intégration architecturales des bouches en façade est compatible avec le PLU,Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des bouches en façade,B,C,A,C,D,La solution hybride combine une pompe à chaleur (PAC) avec une chaudière pour assurer l'appoint.,,"La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
30 - CET Air extrait / Eau,IND,CET Air-Eau,Non,Oui,Non,1,Pas d'emprise extérieure,Pas de LT,Il faut prévoir un encombrement d'environ 70x70x250 cm (placard acoustique),-,"Il est préconisé de mettre le CET dans un placard acoustique pour éviter toute gêne, et de ne pas le positionner sur des cloisons mitoyennes de chambre.",Prévoir une éventuelle rénovation des réseaux ECS,"En cas de bouches en façade, vérifier que l’intégration architecturales des bouches est compatible avec le PLU",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des bouches en façade (si présentes),A,A,A,B,A,"Le chauffe-eau thermodynamique (CET) capte de la chaleur sur l'air extrait de ventilation, et produit de l'eau chaude.",,,
31 - CET Air / Eau (avec unité extérieure),IND,CET Air-Eau,Non,Oui,Non,2,"S’assurer que la place est suffisante en toiture, sur les balcons ou dans le jardin : 0,3 à 0,6 m² pour une PAC (3 à 4 m² en comprenant la surface libre)",Pas de LT,Il faut prévoir un encombrement d'environ 60x60x250 cm,-,"Anticiper les potentielles nuisances acoustiques du module extérieur (surtout si positionné sur le balcon). Le module intérieur a une puissance acoustique faible, il peut être intégré en cuisine.",Prévoir une éventuelle rénovation des réseaux ECS,Vérifier que l'installation de PAC est compatible avec le PLU (par exemple : hauteur en toiture ou PAC sur le balcon),Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,D,B,A,"Le chauffe-eau thermodynamique (CET) capte de la chaleur sur l'air extérieur, et produit de l'eau chaude.",,,on distingue UE et façade ?
32 - CET Air / Eau (intérieur),IND,CET Air-Eau,Non,Oui,Non,2b,Pas d'emprise extérieure,Pas de LT,Il faut prévoir un encombrement d'environ 70x70x250 cm (placard acoustique),-,"Il est préconisé de mettre le CET dans un placard acoustique pour éviter toute gêne, et de ne pas le positionner sur des cloisons mitoyennes de chambre.",Prévoir une éventuelle rénovation des réseaux ECS,"En cas de bouches en façade, vérifier que l’intégration architecturales des bouches est compatible avec le PLU",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des bouches en façade (si présentes),B,C,A,B,B,"Le chauffe-eau thermodynamique (CET) capte de la chaleur sur l'air extérieur, et produit de l'eau chaude.",,,
40 - PAC Air / Air,IND,PAC Air-Air,Oui,Non,Oui,3,"S’assurer que la place est suffisante en toiture, sur les balcons ou dans le jardin : 0,3 à 0,6 m² pour une PAC (3 à 4 m² en comprenant la surface libre)",Pas de LT,Les unités intérieures (ou émetteurs) sont fixées sur le mur en hauteur à proximité du plafond ou en console.,-,Anticiper les potentielles nuisances acoustiques du module extérieur (surtout si positionné sur le balcon).,Création d’un réseau de fluide frigorigène,Vérifier que l'installation de PAC est compatible avec le PLU (par exemple : hauteur en toiture ou PAC sur le balcon),Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,D,C,A,La pompe à chaleur (PAC) air / air utilise l'air extérieur comme source d'énergie pour chauffer (ou refroidir) l'air à l'intérieur.,,,
50 - PAC Air / Eau (avec unité extérieure),IND,PAC Air-Eau,Oui,Oui,Possible,4,"S’assurer que la place est suffisante en toiture, sur les balcons ou dans le jardin : 0,3 à 0,6 m² pour une PAC (3 à 4 m² en comprenant la surface libre)",Pas de LT,Il faut prévoir un encombrement d'environ 60x60x250 cm,-,"Anticiper les potentielles nuisances acoustiques du module extérieur (surtout si positionné sur le balcon). Le module intérieur a une puissance acoustique faible, il peut être intégré en cuisine.",Prévoir une éventuelle rénovation des réseaux ECS et chauffage,Vérifier que l'installation de PAC est compatible avec le PLU (par exemple : hauteur en toiture ou PAC sur le balcon),Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,D,A,A,"La pompe à chaleur (PAC) air / eau prélève de la chaleur dans l'air extérieur, augmente son niveau de température et la transfère à un circuit d'eau.","La PAC air-eau capte de la chaleur sur l’air extérieur, et produit de l’eau chaude.","La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
51 - PAC Air / Eau (intérieure),IND,PAC Air-Eau,Oui,Oui,Possible,4b,Pas d'emprise extérieure,Pas de LT,Il faut prévoir un encombrement d'environ 70x70x250 cm (placard acoustique),-,"Il est préconisé de mettre la PAC dans un placard acoustique pour éviter toute gêne, et de ne pas le positionner sur des cloisons mitoyennes de chambre.",Prévoir une éventuelle rénovation des réseaux ECS et chauffage,"En cas de bouches en façade, vérifier que l’intégration architecturales des bouches est compatible avec le PLU",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des bouches en façade,B,C,A,A,C,"La pompe à chaleur (PAC) air / eau prélève de la chaleur dans l'air extérieur, augmente son niveau de température et la transfère à un circuit d'eau.","La PAC air-eau capte de la chaleur sur l’air extérieur, et produit de l’eau chaude.","La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
52 - PAC Air / Air avec ECS,IND,PAC Air-Air,Oui,Oui,Oui,5,"S’assurer que la place est suffisante en toiture, sur les balcons ou dans le jardin : 0,3 à 0,6 m² pour une PAC (3 à 4 m² en comprenant la surface libre)",Pas de LT,Il faut prévoir un encombrement d'environ 60x60x250 cm,-,"Anticiper les potentielles nuisances acoustiques du module extérieur (surtout si positionné sur le balcon). Le module intérieur a une puissance acoustique faible, il peut être intégré en cuisine.",Prévoir une éventuelle rénovation des réseaux ECS et création d’un réseau de fluide frigorigène,Vérifier que l'installation de PAC est compatible avec le PLU (par exemple : hauteur en toiture ou PAC sur le balcon),Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,D,C,C,La pompe à chaleur (PAC) air / air utilise l'air extérieur comme source d'énergie pour chauffer (ou refroidir) l'air à l'intérieur et pour produire de l'eau chaude.,La PAC air/air utilise l'air extérieur comme source d'énergie pour chauffer (ou refroidir) l'air à l'intérieur et pour produire de l'eau chaude.,,
53 - PAC Air extrait / Eau,IND,PAC Air-Eau,Oui,Oui,Possible,6,Pas d'emprise extérieure,Pas de LT,Il faut prévoir un encombrement d'environ 70x70x250 cm (placard acoustique),-,"Il est préconisé de mettre la PAC dans un placard acoustique pour éviter toute gêne, et de ne pas le positionner sur des cloisons mitoyennes de chambre.",Prévoir une éventuelle rénovation des réseaux ECS et chauffage,"En cas de bouches en façade, vérifier que l’intégration architecturales des bouches est compatible avec le PLU",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des bouches en façade (si présentes),B,C,A,A,D,"La pompe à chaleur (PAC) air extrait / eau capte de la chaleur sur l'air extrait de ventilation, et produit de l'eau chaude.",,"La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
54 - PAC Air / Eau avec chauffage par l'air,IND,PAC Air-Eau,Oui,Oui,Possible,7,Pas d'emprise extérieure,Pas de LT,Il faut prévoir un encombrement d'environ 70x70x250 cm (placard acoustique),-,"Il est préconisé de mettre le CET dans un placard acoustique pour éviter toute gêne, et de ne pas le positionner sur des cloisons mitoyennes de chambre.",Prévoir une éventuelle rénovation des réseaux ECS,"En cas de bouches en façade, vérifier que l’intégration architecturales des bouches est compatible avec le PLU",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des bouches en façade (si présentes),B,C,A,A,D,"La pompe à chaleur (PAC) air / eau capte de la chaleur sur l’air extérieur, produit de l’eau chaude et chauffe (ou refroidit) l'air intérieur.",,"La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
60 - PAC individuelle sur boucle d'eau,MIX,PAC Eau-Eau,Oui,Oui,Possible,1,"L'emprise des PAC à l'extérieur dépendra de l'alimentation de la boucle d'eau tempérée. Par exemple, si c'est une PAC géothermique, l'emprise extérieure sera nulle. Si c'est une PAC Air / Eau, il faudra s'assurer que la place est suffisante en toiture ou dans le jardin (surface estimée, avec espace libre autour des PAC : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Il faut prévoir un encombrement d'environ 60x60x250 cm,"En cas de pose en toiture terrasse, anticiper l’impact des PAC sur la capacité structurelle de la toiture","Anticiper les potentielles nuisances acoustiques (si PAC collective Air / Eau) Le module intérieur a une puissance acoustique faible, il peut être intégré en cuisine.",Création d'un réseau de boucle d'eau tempérée,"Si la PAC est installée en toiture, vérifier la compatibilité avec le PLU (notamment la hauteur)",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,C,A,E,"La pompe à chaleur (PAC) eau / eau individuelle capte de la chaleur dans la boucle d'eau collective, et produit de l'eau chaude.",,"La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
61 - CET individuel sur retour de chauffage collectif,MIX,CET Eau-Eau,Oui,Oui,Possible,2,"L'emprise des PAC à l'extérieur dépendra de l'alimentation de la boucle d'eau chauffage. Par exemple, si c'est une PAC géothermique, l'emprise extérieure sera nulle. Si c'est une PAC Air / Eau, il faudra s'assurer que la place est suffisante en toiture ou dans le jardin (surface estimée, avec espace libre autour des PAC : xx m²)","S’assurer que la place est suffisante dans la chaufferie existante, ou pour implanter un local technique (surface estimée : xx m²)",Il faut prévoir un encombrement d'environ 60x60x250 cm,"En cas de pose en toiture terrasse, anticiper l’impact des PAC sur la capacité structurelle de la toiture","Anticiper les potentielles nuisances acoustiques (si PAC collective Air / Eau) Le module intérieur a une puissance acoustique faible, il peut être intégré en cuisine.",Prévoir une éventuelle rénovation des réseaux chauffage,"Si la PAC est installée en toiture, vérifier la compatibilité avec le PLU (notamment la hauteur)",Anticiper l’impact sur la puissance de raccordement électrique,Anticiper l’intégration architecturale des PAC,C,C,C,A,E,Le chauffe-eau thermodynamique (CET) récupère la chaleur dans l'eau de retour du réseau de chauffage collectif pour chauffer l'eau sanitaire.,,"La climatisation ne sera pas possible avec des radiateurs à eau. Il faudra soit les remplacer par des ventilo-convecteurs, soit utiliser un plancher rafraichissant (si présent).",
